操作日(年),操作日(月),操作日(日),取引順番号,摘要,お支払金額,お預り金額,メモ
2025,1,6,301,セゾン）リ－ス　　　　　　　　,8800,,
2025,1,6,401,Vデビット　東京電力　電気料金等　1A006003,10672,,
2025,1,6,501,Vデビット　東京電力　電気料金等　1A006004,3172,,
2025,1,7,301,Vデビット　１２月分　ＫＤＤＩ利用料金　1A007003,28449,,
2025,1,8,101,Vデビット　ソフトバンク（Ｂ）　1A008001,3863,,
2025,1,14,101,ＤＦ．キヨウイクカイハツ　　　,67881,,
2025,1,14,301,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A014001,8944,,
2025,1,20,101,ＭＨＦ）デンノウ（カ　　　　　,6863,,
2025,1,21,101,振込 カ）ユアネツト,21043,,
2025,1,27,101,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A027001,9066,,
2025,1,27,201,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A027002,2868,,
2025,1,30,101,Vデビット　コンフォートマーケット西馬込店　1A030001,609,,
2025,1,30,201,Vデビット　東京電力　電気料金等　1A030002,3880,,
2025,2,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,2,6,101,Vデビット　ＢＩＧＬＯＢＥ利用料　1A037001,4517,,
2025,2,6,201,Vデビット　１月分　ＫＤＤＩ利用料金　1A037002,4872,,
2025,2,6,301,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A037003,2620,,
2025,2,6,401,Vデビット　ソフトバンク（Ｂ）　1A037004,3803,,
2025,2,12,101,ＤＦ．キヨウイクカイハツ　　　,67881,,
2025,2,12,301,Vデビット　コンフォートマーケット西馬込店　1A043002,972,,
2025,2,13,201,Vデビット　塾まるごとネット　1A044002,33134,,
2025,2,13,301,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A044003,3516,,
2025,2,20,101,ＭＨＦ）デンノウ（カ　　　　　,4579,,
2025,2,27,101,Vデビット　塾まるごとネット　1A058001,2189,,
2025,2,28,201,振込 サガノ　ノボル,200000,,
2025,3,3,101,Vデビット　東京電力　電気料金等　1A062001,5888,,
2025,3,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,3,6,101,Vデビット　ＢＩＧＬＯＢＥ利用料　1A065001,4517,,
2025,3,6,201,Vデビット　２月分　ＫＤＤＩ利用料金　1A065002,4730,,
2025,3,6,301,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A065003,3665,,
2025,3,6,401,Vデビット　ソフトバンク（Ｂ）　1A065004,2373,,
2025,3,12,101,ＤＦ．キヨウイクカイハツ　　　,67881,,
2025,3,15,101,振込 ボウヤホケンダイベン（カ,19000,,
2025,3,15,102,振込手数料,160,,
2025,3,21,101,ＭＨＦ）デンノウ（カ　　　　　,5691,,
2025,3,24,101,Vデビット　塾まるごとネット　1A083001,2145,,
2025,3,24,201,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A083002,7720,,
2025,3,31,201,振込 サガノ　ノボル,200000,,
2025,3,31,202,振込手数料,160,,
2025,3,31,301,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A090001,11860,,
2025,4,1,301,Vデビット　東京電力　電気料金等　1A091001,4709,,
2025,4,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,4,5,101,Vデビット　ＢＩＧＬＯＢＥ利用料　1A095001,4517,,
2025,4,5,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A095002,3710,,
2025,4,6,101,Vデビット　ソフトバンク（Ｂ）　1A096001,2478,,
2025,4,7,101,ＳＭＢＣ（イクシンシヤ　　　　,22275,,
2025,4,7,201,振込 ササキゼイリシジムシヨ　ササキ　ミカ,88000,,
2025,4,7,202,振込手数料,160,,
2025,4,12,101,Vデビット　ZOOM.COM 888-799-9666　1A102001,46750,,
2025,4,12,201,PE ラインモバイル,4579,,
2025,4,14,101,ＤＦ．キヨウイクカイハツ　　　,67881,,
2025,4,14,501,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A104002,3256,,
2025,4,18,101,Vデビット　塾まるごとネット　1A108001,6598,,
2025,4,21,101,ＭＨＦ）デンノウ（カ　　　　　,5403,,
2025,4,24,101,Vデビット　ＢＯＯＫアマノ　高丘店　1A114001,6199,,
2025,4,30,201,振込 サガノ　ノボル,200000,,
2025,5,1,301,Vデビット　東京電力　電気料金等　1A121001,4987,,
2025,5,1,401,Vデビット　東京電力　電気料金等　1A121002,10174,,
2025,5,2,101,振込 カ）ユアネツト,19030,,
2025,5,4,101,Vデビット　ＢＩＧＬＯＢＥ利用料　1A124001,4517,,
2025,5,4,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A124002,7888,,
2025,5,4,301,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A124003,6622,,
2025,5,4,401,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A124004,5929,,
2025,5,6,201,Vデビット　ソフトバンク（Ｂ）　1A126001,2373,,
2025,5,7,101,ＳＭＢＣ（イクシンシヤ　　　　,24915,,
2025,5,7,201,セゾン）リ－ス　　　　　　　　,8800,,
2025,5,7,301,Vデビット　東京電力　電気料金等　1A127001,1017,,
2025,5,12,101,ＤＦ．キヨウイクカイハツ　　　,67881,,
2025,5,13,101,Vデビット　ＢＯＯＫアマノ　高丘店　1A133001,6446,,
2025,5,27,201,Vデビット　塾まるごとネット　1A147003,6598,,
2025,5,27,301,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A147004,14495,,
2025,5,28,101,Vデビット　ＡＭＺ＊めちゃコミ　1A148001,330,,
2025,5,29,101,セブンATM出金,30000,,
2025,5,30,101,振込 カ）ゼウス,,825380,
2025,5,30,201,振込 サガノ　ノボル,20000,,
2025,5,30,202,振込手数料,145,,
2025,5,30,301,振込 サガノ　ノボル,180000,,
2025,5,30,302,振込手数料,145,,
2025,5,30,401,Vデビット　中部電力　２５年０５月分　1B150821,5439,,
2025,6,1,101,決算お利息 5月分,,132,
2025,6,1,201,Vデビット　ＡＭＺ＊めちゃコミ　1A152001,330,,
2025,6,2,101,Vデビット　東京電力　電気料金等　1A153001,2287,,
2025,6,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,6,6,101,Vデビット　ソフトバンク（Ｂ）　1A157001,2373,,
2025,6,8,101,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A159001,1296,,
2025,6,8,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A159002,2335,,
2025,6,8,301,Vデビット　ＢＩＧＬＯＢＥ利用料　1A159003,4517,,
2025,6,8,401,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A159004,2566,,
2025,6,11,101,振込 カ）ユアネツト,36905,,
2025,6,11,102,振込手数料,145,,
2025,6,11,201,振込 カ）ゼウス,6600,,
2025,6,11,202,振込手数料,145,,
2025,6,12,101,ＤＦ．キヨウイクカイハツ　　　,67881,,
2025,6,13,1201,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A164001,21682,,
2025,6,20,101,ＭＨＦ）デンノウ（カ　　　　　,6898,,
2025,6,27,101,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A178001,9669,,
2025,6,28,101,Vデビット　中部電力　２５年０６月分　1B179355,5665,,
2025,6,30,201,振込 サガノ　ノボル,200000,,
2025,6,30,202,振込手数料,145,,
2025,6,30,401,Vデビット　東京電力　電気料金等　1A181001,2277,,
2025,7,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,7,4,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A185001,1724,,
2025,7,4,301,Vデビット　ＢＩＧＬＯＢＥ利用料　1A185002,4517,,
2025,7,4,401,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A185003,2511,,
2025,7,4,501,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A185004,1961,,
2025,7,6,101,Vデビット　ソフトバンク（Ｂ）　1A187001,7694,,
2025,7,7,101,振込 カ）ユアネツト,16874,,
2025,7,7,102,振込手数料,145,,
2025,7,14,101,ＤＦ．キヨウイクカイハツ　　　,63646,,
2025,7,22,101,ＭＨＦ）デンノウ（カ　　　　　,15568,,
2025,7,23,101,セブンATM出金,100000,,
2025,7,24,101,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A205001,2806,,
2025,7,27,101,Vデビット　ＡＭＡＺＯＮ．ＣＯ．ＪＰ　1A208001,1485,,
2025,7,30,101,Vデビット　中部電力　２５年０７月分　1B211765,5877,,
2025,7,31,201,振込 サガノ　ノボル,200000,,
2025,7,31,202,振込手数料,145,,
2025,7,31,301,Vデビット　東京電力　電気料金等　1A212001,3974,,
2025,8,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,8,4,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A216001,2378,,
2025,8,4,301,Vデビット　ＢＩＧＬＯＢＥ利用料　1A216002,4517,,
2025,8,4,401,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A216003,1115,,
2025,8,4,501,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A216004,1962,,
2025,8,6,101,ＳＭＢＣ（イクシンシヤ　　　　,10422,,
2025,8,6,201,Vデビット　ソフトバンク（Ｂ）　1A218001,7484,,
2025,8,8,101,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A220001,25864,,
2025,8,9,101,Vデビット　ﾏｲｸﾛｿﾌﾄ　1A221001,27400,,
2025,8,12,101,ＤＦ．キヨウイクカイハツ　　　,63646,,
2025,8,12,201,振込 カ）ユアネツト,16555,,
2025,8,16,101,Vデビット　Canva* 04610-22005461　1A228001,4500,,
2025,8,19,101,振込 ザイ）ニホンエイゴケンテイキヨウカイ,55490,,
2025,8,19,102,振込手数料,145,,
2025,8,20,101,ＭＨＦ）デンノウ（カ　　　　　,11509,,
2025,8,22,101,振込 カ）シンワコウサン,19000,,
2025,8,22,102,振込手数料,145,,
2025,8,22,201,Vデビット　塾まるごとネット　1A234001,3993,,
2025,8,27,101,Vデビット　塾まるごとネット　1A239001,3430,,
2025,8,29,201,振込 サガノ　ノボル,200000,,
2025,8,30,301,Vデビット　コンフォートマーケット西馬込店　1A242002,2764,,
2025,8,30,401,Vデビット　中部電力　２５年０８月分　1B242170,5506,,
2025,9,1,201,Vデビット　東京電力　電気料金等　1A244001,4438,,
2025,9,4,101,セゾン）リ－ス　　　　　　　　,8800,,
2025,9,4,201,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A247001,1085,,
2025,9,4,301,Vデビット　ＵＱ　ｍｏｂｉｌｅご利用料金　1A247003,1962,,
2025,9,4,401,Vデビット　ＢＩＧＬＯＢＥ利用料　1A247004,4517,,
2025,9,6,101,Vデビット　ソフトバンク（Ｂ）　1A249001,7484,,
2025,9,12,101,ＤＦ．キヨウイクカイハツ　　　,65824,,
2025,9,12,1101,Vデビット　ＭｏｎｏｔａＲＯ．ｃｏｍ　1A255001,6558,,
2025,9,12,1201,Vデビット　アトレゴタンダ２　1A255002,1800,,
2025,9,13,101,Vデビット　コンフォートマーケット西馬込店　1A256001,1719,,
2025,9,13,201,Vデビット　ジョナサン　1A256002,4539,,
2025,9,14,101,Vデビット　アトレメグロ２　1A257001,3530,,
2025,9,15,201,Vデビット　コンフォートマーケット西馬込店　1A258001,2211,,
